_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
175,212,2,المدرسة الوطنية العليا للمهندسين بتونس,Ecole Nationale Supérieure d'Ingénieurs de Tunis,www.ensit.tn,Tunis,Public,36.784612890454795,10.17937637326426
176,214,2,دار المعلمين العليا,Ecole Normale Supérieure,www.ens.rnu.tn,Tunis,Public,36.79077197510855,10.168702432907029
177,213,2,المدرسة العليا للعلوم الإقتصادية والتجارية بتونس,Ecole Supérieure des Sciences Economiques et Commerciales de Tunis,www.essect.rnu.tn,Tunis,Public,36.78716734561937,10.174311765716011
178,201,2,كلية العلوم الإنسانية والإجتماعية بتونس,Faculté des Sciences Humaines et Sociales de Tunis,www.fshst.rnu.tn,Tunis,Public,36.79567238507198,10.163393417456419
179,209,2,المعهد التحضيري للدراسات الهندسية بتونس,Institut Préparatoire aux Etudes d'Ingénieurs de Tunis,www.ipeit.rnu.tn,Tunis,Public,36.78535636493706,10.171203607369236
180,210,2,المعهد التحضيري للدراسات الأدبية و العلوم الإنسانية بتونس,Institut Préparatoire aux Etudes Littéraires et des Sciences Humaines de Tunis,www.ipelsht.rnu.tn,Tunis,Public,36.790220220990946,10.16755916894899
181,205,2,المعهد العالي للفن المسرحي,Institut Supérieur d'Art Dramatique de Tunis,,Tunis,Public,36.815065783921064,10.1668648
182,211,2,المعهد العالي للتصرف بتونس,Institut Supérieur de Gestion de Tunis,www.isg.rnu.tn,Tunis,Public,36.80444873263701,10.150561065975129
183,208,2,المعهد العالي للتنشيط الشبابي والثقافي ببئر الباي,Institut Supérieur de l'Animation pour la Jeunesse et la Culture de Bir El Bey,www.isajc.rnu.tn,Ben Arous,Public,36.717645510065715,10.377373594787201
184,203,2,المعهد العالي للموسيقى بتونس,Institut Supérieur de Musique de Tunis,www.ismt.rnu.tn,Tunis,Public,36.80148205262928,10.180993988908002
185,204,2,المعهد العالي للفنون الجميلة بتونس,Institut Supérieur des Beaux Arts de Tunis,www.isbat.rnu.tn,Tunis,Public,36.81095727812382,10.163123807029512
